,client_id,date_order,quantity,sales_net,data_order_year_2017,data_order_year_2018,data_order_year_2019,data_order_quarter_1,data_order_quarter_2,data_order_quarter_3,data_order_quarter_4
52951819,2238308,2019-06-04,0.011001223,517.776,0,0,1,0,1,0,0
45890443,149496,2019-03-08,0.0,6.4032,0,0,1,1,0,0,0
15203274,1540865,2018-03-15,0.0,111.7248,0,1,0,1,0,0,0
46753842,1718779,2019-03-21,0.0,210.3396,0,0,1,1,0,0,0
23339188,2182600,2018-06-27,0.011001223,17.5674,0,1,0,0,1,0,0
53207067,2258946,2019-06-07,0.00022224693,70.925865,0,0,1,0,1,0,0
18196672,643464,2018-03-29,0.00033337035,3.4776,0,1,0,1,0,0,0
38844803,1532963,2018-12-17,0.011001223,14.368284,0,1,0,0,0,0,1
13705809,2171433,2018-02-28,0.000111123445,195.408,0,1,0,1,0,0,0
9360490,1240396,2018-01-09,0.0,47.7756,0,1,0,1,0,0,0
16532688,1418185,2018-03-29,0.0,29.4216,0,1,0,1,0,0,0
4218467,925820,2017-11-13,0.0,26.8824,1,0,0,0,0,0,1
49962101,2240502,2019-04-22,0.0,21.0036,0,0,1,0,1,0,0
44080002,1643098,2019-02-18,0.0021113458,173.54971,0,0,1,1,0,0,0
56396135,1975091,2019-07-15,0.0010001111,509.8741,0,0,1,0,0,1,0
15731044,1724216,2018-03-14,0.0,645.564,0,1,0,1,0,0,0
57609803,2012785,2019-07-25,0.0010001111,144.5136,0,0,1,0,0,1,0
40134762,1159132,2019-01-01,0.033225916,29.341621,0,0,1,1,0,0,0
18002386,1659387,2018-04-17,0.000111123445,73.048,0,1,0,0,1,0,0
30076202,1118027,2018-09-04,0.000111123445,32.292,0,1,0,0,0,1,0
13167170,331734,2018-02-21,0.0,48.2448,0,1,0,1,0,0,0
53073215,1443323,2019-06-07,0.0,9.8256,0,0,1,0,1,0,0
4867090,1168370,2017-11-16,0.0,70.4352,1,0,0,0,0,0,1
7996054,1772875,2017-12-25,0.000111123445,19.527,1,0,0,0,0,0,1
8955262,951101,2018-01-04,0.011001223,83.214,0,1,0,1,0,0,0
25758256,1949786,2018-07-20,0.0,0.3312,0,1,0,0,0,1,0
35584521,1135852,2018-11-13,0.0,123.2064,0,1,0,0,0,0,1
30072630,1934466,2018-09-05,0.03655962,896.12933,0,1,0,0,0,1,0
57350901,653416,2019-07-09,0.033225916,1271.716,0,0,1,0,0,1,0
24553329,1982880,2018-07-10,0.00022224693,0.7728,0,1,0,0,0,1,0
54986841,1839405,2019-06-26,0.0054450496,70.99088,0,0,1,0,1,0,0
38074078,1195826,2018-12-10,0.00033337035,1.656,0,1,0,0,0,0,1
45087354,1596619,2019-02-28,0.000111123445,146.211,0,0,1,1,0,0,0
15905392,1506134,2018-03-22,0.0010001111,1425.1205,0,1,0,1,0,0,0
56932946,439007,2019-07-17,0.0,15.18,0,0,1,0,0,1,0
208447,2201789,2017-10-06,0.0054450496,103.82881,1,0,0,0,0,0,1
2895641,1416283,2017-10-30,0.0,2.2908,1,0,0,0,0,0,1
54324908,1879369,2019-06-20,0.0,43.0836,0,0,1,0,1,0,0
2720568,341268,2017-10-31,0.0,188.7564,1,0,0,0,0,0,1
27534993,271536,2018-08-13,0.0,564.0336,0,1,0,0,0,1,0
31923342,1339876,2018-10-02,0.0,91.632,0,1,0,0,0,0,1
9069258,1619237,2017-12-27,0.0,234.4896,1,0,0,0,0,0,1
16688008,1386568,2018-03-23,0.011001223,128.5194,0,1,0,1,0,0,0
47111659,818853,2019-03-21,0.0,0.552,0,0,1,1,0,0,0
50366952,1873163,2019-04-19,0.013223692,56.908134,0,0,1,0,1,0,0
49386616,1287482,2019-04-17,0.0,5.382,0,0,1,0,1,0,0
9767961,943303,2018-01-16,0.0032225805,84.29224,0,1,0,1,0,0,0
53621955,1021389,2019-06-11,0.0010001111,120.01584,0,0,1,0,1,0,0
3933246,52546,2017-11-08,0.00022224693,22.54,1,0,0,0,0,0,1
17801915,1428453,2018-04-11,0.0010001111,55.17792,0,1,0,0,1,0,0
14409765,1329327,2018-03-07,0.00022224693,135.47614,0,1,0,1,0,0,0
51094973,2063897,2019-05-17,0.0,202.1148,0,0,1,0,1,0,0
52200490,1163727,2019-05-30,0.00033337035,521.64,0,0,1,0,1,0,0
7660395,1073590,2017-12-14,0.0054450496,42.352936,1,0,0,0,0,0,1
60345448,641315,2019-08-22,0.0,35.7696,0,0,1,0,0,1,0
19341260,2221508,2018-05-03,0.0,111.4212,0,1,0,0,1,0,0
2633447,317987,2017-09-28,0.0021113458,36.1169,1,0,0,0,0,1,0
6982971,1557739,2017-12-12,0.0032225805,32.5496,1,0,0,0,0,0,1
59975662,1062268,2019-08-19,0.0,1387.176,0,0,1,0,0,1,0
3271518,531606,2017-11-02,0.0,213.1272,1,0,0,0,0,0,1
2646274,524127,2017-09-28,0.000111123445,19.182,1,0,0,0,0,1,0
4005955,1429570,2017-11-09,0.00055561727,72.03907,1,0,0,0,0,0,1
25888731,1799635,2018-07-25,0.015446161,0.25852,0,1,0,0,0,1,0
41149268,399916,2019-01-14,0.000111123445,859.579,0,0,1,1,0,0,0
52960778,256190,2019-06-06,0.000111123445,1.012,0,0,1,0,1,0,0
21803252,411250,2018-04-02,0.00033337035,4968.0,0,1,0,0,1,0,0
14142095,688085,2018-03-06,0.00022224693,29.3664,0,1,0,1,0,0,0
17505852,623818,2018-04-12,0.002666963,233.90558,0,1,0,0,1,0,0
42033857,1466153,2019-01-24,0.0,38.8332,0,0,1,1,0,0,0
31708123,195985,2018-09-28,0.0,27.738,0,1,0,0,0,1,0
10462374,2016862,2018-01-23,0.000111123445,58.121,0,1,0,1,0,0,0
23742262,455430,2018-07-03,0.0,14.9316,0,1,0,0,0,1,0
16583726,253346,2018-03-28,0.000111123445,450.271,0,1,0,1,0,0,0
51496473,1253079,2019-05-20,0.0,26.1372,0,0,1,0,1,0,0
49445625,2226580,2019-04-17,0.033225916,40.584328,0,0,1,0,1,0,0
975478,1194105,2017-09-26,0.0,233.2476,1,0,0,0,0,1,0
25182490,287031,2018-07-17,0.0,81.144,0,1,0,0,0,1,0
10500238,1062234,2018-01-23,0.0,107.226,0,1,0,1,0,0,0
4506598,630258,2017-11-15,0.00033337035,65.8881,1,0,0,0,0,0,1
37770078,1211280,2018-12-04,0.0,125.7456,0,1,0,0,0,0,1
28583447,2171433,2018-07-27,0.0,78.1908,0,1,0,0,0,1,0
21808274,478280,2018-06-11,0.0010001111,49.32396,0,1,0,0,1,0,0
6795322,1686478,2017-12-12,0.00055561727,1.4352,1,0,0,0,0,0,1
50115812,187332,2019-04-22,0.0,76.3416,0,0,1,0,1,0,0
58454022,1179931,2019-08-05,0.0,211.0296,0,0,1,0,0,1,0
26855779,2244789,2018-08-02,0.033225916,12.256393,0,1,0,0,0,1,0
451262,567596,2017-10-25,0.0010001111,48.64776,1,0,0,0,0,0,1
17073284,1339939,2018-04-04,0.00055561727,55.394733,0,1,0,0,1,0,0
41105681,1733135,2019-01-01,0.0025558397,73.68702,0,0,1,1,0,0,0
20578278,1451087,2018-05-28,0.0,1.1592,0,1,0,0,1,0,0
32406660,356213,2018-10-08,0.011001223,41.34811,0,1,0,0,0,0,1
271955,487025,2017-10-13,0.00055561727,81.06886,1,0,0,0,0,0,1
48286162,858075,2019-03-29,0.0,162.0396,0,0,1,1,0,0,0
17332273,2011853,2018-04-09,0.000111123445,87.584,0,1,0,0,1,0,0
31176866,317207,2018-09-19,0.0,20.8932,0,1,0,0,0,1,0
62433165,1288367,2019-09-10,0.00055561727,43.614132,0,0,1,0,0,1,0
35058588,2248502,2018-11-07,0.000111123445,37.766,0,1,0,0,0,0,1
6812245,621709,2017-12-04,0.0,19.5684,1,0,0,0,0,0,1
24000674,266310,2018-06-27,0.0,803.2704,0,1,0,0,1,0,0
42094575,406145,2019-01-25,0.000111123445,4.761,0,0,1,1,0,0,0
